Bookmaker,Sport,Player Props,Pre-match odds,Live odds,Markets
10BET,Football,No,Yes,Yes,"ML, Totals"
12bet 🆕,American Football,No,Yes,No,"ML, Spread, Totals"
12bet 🆕,Baseball,No,Yes,Yes,ML
12bet 🆕,Basketball,No,Yes,Yes,"ML, Spread, Totals"
12bet 🆕,Esports,No,Yes,Yes,"ML, Spread, Totals"
12bet 🆕,Football,No,Yes,Yes,"ML, Spread, Totals"
12bet 🆕,Ice Hockey,No,Yes,Yes,"ML, Spread, Totals"
12bet 🆕,Tennis,No,Yes,Yes,"ML, Spread, Totals"
12bet 🆕,Volleyball,No,Yes,Yes,ML
188bet,Football,No,Yes,Yes,"ML, Spread, Totals, Spread HT, Totals HT"
18bet,Football,No,Yes,Yes,"ML, Spread, Totals, Spread HT, Totals HT, Yes"
1Bet,Football,No,Yes,Yes,"ML, Spread, Totals, Spread HT, Totals HT, Yes"
1xBit 🆕,American Football,No,Yes,No,"Spread, Totals"
1xBit 🆕,Baseball,No,Yes,No,"ML, Spread, Totals, Totals HT"
1xBit 🆕,Basketball,No,Yes,No,"ML, Spread, Totals, Totals HT, 3-Way Result"
1xBit 🆕,Esports,No,Yes,No,"ML, Totals"
1xBit 🆕,Football,No,Yes,No,"ML, Spread, Totals, Totals HT, Both Teams To Score"
1xBit 🆕,Handball,No,Yes,No,"Spread, Totals, Totals HT, 3-Way Result"
1xBit 🆕,Ice Hockey,No,Yes,No,"Spread, Totals, Totals HT, 3-Way Result"
1xBit 🆕,Rugby Union,No,Yes,No,"ML, Spread, Totals, Totals HT"
1xBit 🆕,Tennis,No,Yes,No,"ML, Spread, Totals, Totals HT"
1xBit 🆕,Volleyball,No,Yes,No,"ML, Spread, Totals, Totals HT"
1xbet,American Football,No,Yes,No,"ML, Spread, Totals, Team Total Home, Team Total Away"
1xbet,Baseball,No,Yes,No,"ML, Spread, Totals, Team Total Home, Team Total Away, Both Teams To Score"
1xbet,Basketball,No,Yes,Yes,"ML, Spread, Totals, Team Total Home, Team Total Away, 3-Way Result, Double Chance"
1xbet,Darts,No,Yes,Yes,"ML, Spread, Totals, Team Total Home, Team Total Away"
1xbet,Esports,No,Yes,Yes,"ML, Spread, Totals, 3-Way Result, Double Chance"
1xbet,Football,No,Yes,Yes,"ML, Spread, Totals, Team Total Home, Team Total Away, Corners Spread, Corners Totals, Both Teams To Score, Corners Totals Away, Corners Totals Home, Double Chance, European Handicap"
1xbet,Handball,No,Yes,Yes,"ML, Spread, Totals, Team Total Home, Team Total Away, 3-Way Result, Double Chance"
1xbet,Ice Hockey,No,Yes,Yes,"ML, Spread, Totals, Team Total Home, Team Total Away, 3-Way Result, Both Teams To Score, Double Chance"
1xbet,Tennis,No,Yes,Yes,"ML, Spread, Totals, Spread (Games), Totals (Games)"
1xbet,Volleyball,No,Yes,Yes,"ML, Spread, Totals, Team Total Home, Team Total Away, First Set Winner, ML 2nd Set"
20Bet,American Football,No,Yes,No,ML
20Bet,Baseball,No,Yes,No,ML
20Bet,Basketball,No,Yes,Yes,"ML, Totals, 3-Way Result"
20Bet,Football,No,Yes,Yes,"ML, Spread, Totals, Both Teams To Score"
20Bet,Handball,No,Yes,No,"ML, Spread, Totals, 3-Way Result"
20Bet,Ice Hockey,No,Yes,Yes,"ML, Spread, Totals, 3-Way Result"
20Bet,Rugby,No,Yes,No,"ML, Spread"
22Bet 🆕,American Football,No,Yes,No,"Spread, Totals"
22Bet 🆕,Baseball,No,Yes,No,"ML, Spread, Totals, Totals HT"
22Bet 🆕,Basketball,No,Yes,No,"ML, Spread, Totals, Totals HT, 3-Way Result"
22Bet 🆕,Esports,No,Yes,No,"ML, Totals"
22Bet 🆕,Football,No,Yes,No,"ML, Spread, Totals, Totals HT, Both Teams To Score"
22Bet 🆕,Handball,No,Yes,No,"Spread, Totals, Totals HT, 3-Way Result"
22Bet 🆕,Ice Hockey,No,Yes,No,"Spread, Totals, Totals HT, 3-Way Result"
22Bet 🆕,Rugby Union,No,Yes,No,"ML, Spread, Totals, Totals HT"
22Bet 🆕,Tennis,No,Yes,No,"ML, Spread, Totals, Totals HT"
22Bet 🆕,Volleyball,No,Yes,No,"ML, Spread, Totals, Totals HT"
31Bet,Football,No,Yes,No,"ML, Spread"
7Bet LT,American Football,No,Yes,No,"ML, Spread, Totals"
7Bet LT,Baseball,No,Yes,No,"ML, Spread, Totals"
7Bet LT,Basketball,No,Yes,Yes,"ML, Spread, Totals"
7Bet LT,Esports,No,Yes,Yes,"ML, Spread, Totals"
7Bet LT,Football,No,Yes,No,ML
7Bet LT,Handball,No,Yes,No,"ML, Spread"
7Bet LT,Ice Hockey,No,Yes,No,"ML, Spread, Totals"
7Bet LT,Rugby Union,No,Yes,No,"ML, Spread"
7Bet LT,Tennis,No,Yes,Yes,"ML, Spread, Totals"
7Bet LT,Volleyball,No,Yes,No,"ML, Totals"
888Sport,American Football,No,Yes,Yes,"ML, Spread, Totals"
888Sport,Baseball,No,Yes,Yes,"ML, Spread, Totals"
888Sport,Basketball,No,Yes,Yes,"ML, Spread, Totals, Totals HT, ML 1Q, ML 2Q, ML 3Q, ML HT"
888Sport,Boxing,No,Yes,Yes,ML
888Sport,Football,No,Yes,Yes,"ML, Totals, Draw No Bet, Totals HT, Both Teams To Score, Both Teams To Score HT, Double Chance"
888Sport,Ice Hockey,No,Yes,Yes,"ML, Spread, Totals"
888Sport,Rugby,No,Yes,No,ML
888Sport,Tennis,No,Yes,Yes,"ML, First Set Winner, Spread (Games)"
888Sport CA,American Football,No,Yes,No,ML
888Sport CA,Baseball,No,Yes,No,"ML, Spread, Totals"
888Sport CA,Basketball,No,Yes,Yes,"ML, Spread, Totals"
888Sport CA,Boxing,No,Yes,No,ML
888Sport CA,Football,No,Yes,Yes,ML
888Sport CA,Ice Hockey,No,Yes,Yes,"ML, Spread, Totals"
888Sport CA,Rugby,No,Yes,No,ML
888Sport CA,Tennis,No,Yes,No,"ML, First Set Winner"
888Sport IT,Basketball,No,Yes,Yes,"ML, Spread, Totals"
888Sport IT,Boxing,No,Yes,Yes,ML
888Sport IT,Football,No,Yes,Yes,"ML, Spread, Totals"
888Sport IT,Handball,No,Yes,Yes,"Spread, Totals, 3-Way Result"
888Sport IT,Ice Hockey,No,Yes,Yes,"ML, Spread, Totals, 3-Way Result"
